epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.4024,0.79842,2.9195,1.32514,0.00426,0.95833,0.36146,0.14741,1.03881,3.55815,1.79232,0.000518622,0.000518622,0.000518622
2,7.10243,0.94112,2.51857,1.39432,0.00404,0.91667,0.26967,0.10754,1.30637,3.65335,2.3532,0.00106365,0.00106365,0.00106365
3,9.89091,1.05597,2.27796,1.52114,0.00303,0.66155,0.06804,0.02182,2.35959,4.53973,3.47199,0.00159768,0.00159768,0.00159768
4,12.7735,1.15033,2.22688,1.59658,0.22604,0.03501,0.0682,0.02714,2.50077,4.45149,3.46749,0.00161749,0.00161749,0.00161749
5,15.6498,1.07022,2.05602,1.51562,0.26921,0.05409,0.03922,0.01553,2.93558,5.05656,3.45785,0.00160099,0.00160099,0.00160099
6,18.3996,1.0466,1.95198,1.4701,0.22948,0.22227,0.15171,0.05411,2.31991,4.0543,3.1387,0.00158448,0.00158448,0.00158448
7,21.2039,1.08554,1.90369,1.49118,0.02504,0.0402,0.01018,0.0044,3.50072,5.53837,5.00612,0.00156798,0.00156798,0.00156798
8,24.1198,1.06151,1.85925,1.47967,0.00266,0.02778,0.00039,7e-05,4.58384,11.4195,8.86408,0.00155148,0.00155148,0.00155148
9,26.9166,1.01453,1.75708,1.44966,0.30485,0.19006,0.12933,0.05473,2.20578,3.70654,3.0058,0.00153497,0.00153497,0.00153497
10,29.6786,1.07855,1.85563,1.47984,0.15797,0.45322,0.12257,0.05654,1.65186,4.21352,2.57201,0.00151847,0.00151847,0.00151847
11,32.4909,0.99065,1.75144,1.40168,0.26149,0.34137,0.24968,0.1121,1.62116,4.80969,2.68763,0.00150197,0.00150197,0.00150197
12,35.1506,0.99814,1.70632,1.43702,0.39067,0.40789,0.28488,0.11354,1.70358,3.9991,2.65319,0.00148546,0.00148546,0.00148546
13,37.8314,0.99196,1.71103,1.4347,0.51799,0.57968,0.46197,0.2601,1.33216,2.46977,2.04169,0.00146896,0.00146896,0.00146896
14,40.5832,0.99886,1.69761,1.40585,0.20567,0.33041,0.19651,0.07895,2.14081,3.05055,2.73711,0.00145246,0.00145246,0.00145246
15,43.2695,0.97122,1.62062,1.38864,0.30188,0.58455,0.40622,0.17419,1.89225,2.63977,2.60476,0.00143595,0.00143595,0.00143595
16,45.9314,0.88715,1.52905,1.36901,0.42053,0.56112,0.45944,0.21136,1.5693,2.49523,2.2392,0.00141945,0.00141945,0.00141945
17,48.6742,0.90444,1.58642,1.37056,0.49454,0.57018,0.48644,0.28599,1.45288,2.29364,2.21695,0.00140295,0.00140295,0.00140295
18,51.4373,0.88255,1.49273,1.34282,0.57472,0.44833,0.46962,0.25916,1.43857,2.57778,2.25315,0.00138644,0.00138644,0.00138644
19,54.3269,0.89508,1.49924,1.35536,0.52124,0.52705,0.51229,0.31317,1.50206,2.06872,2.32337,0.00136994,0.00136994,0.00136994
