epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.48328,1.02833,2.94004,1.18639,0.00667,0.78261,0.1126,0.04599,1.60765,3.24843,1.48817,0.000592593,0.000592593,0.000592593
2,11.4594,1.34847,2.41228,1.28816,0.00639,0.75,0.06921,0.02215,2.13794,3.68406,1.96089,0.00124679,0.00124679,0.00124679
3,16.0422,1.4419,2.11059,1.38232,0.06392,0.13043,0.06528,0.02294,2.44766,3.7867,2.16143,0.00188779,0.00188779,0.00188779
4,20.223,1.46946,2.0572,1.41468,0.00417,0.48913,0.00341,0.00081,2.99961,4.16441,2.43719,0.0019406,0.0019406,0.0019406
5,24.6096,1.50119,2.12595,1.44748,0.00361,0.42391,0.00214,0.00046,3.12978,4.09778,2.89506,0.0019208,0.0019208,0.0019208
6,28.2919,1.39798,1.90576,1.37988,0.00241,0.28261,0.00071,0.00016,3.0576,4.95197,3.60348,0.001901,0.001901,0.001901
7,32.4114,1.33457,1.86302,1.3388,0.00213,0.25,0.00055,9e-05,2.71013,12.5903,3.34539,0.0018812,0.0018812,0.0018812
8,37.1521,1.36228,1.77264,1.36087,0.00083,0.09783,8e-05,2e-05,2.51231,71.5801,2.94031,0.0018614,0.0018614,0.0018614
9,41.3108,1.26762,1.62197,1.30013,0.00514,0.18478,0.00474,0.00138,2.20544,7.59816,2.3297,0.0018416,0.0018416,0.0018416
10,45.3406,1.20658,1.60246,1.28555,0.16739,0.21739,0.09055,0.02571,2.21287,3.25592,2.33182,0.0018218,0.0018218,0.0018218
11,49.3085,1.13848,1.47075,1.21973,0.18075,0.22826,0.14359,0.05068,1.98213,3.23386,1.96921,0.001802,0.001802,0.001802
12,52.9492,1.17197,1.48823,1.23914,0.13614,0.23913,0.10424,0.03523,2.06754,3.18181,1.99444,0.0017822,0.0017822,0.0017822
13,56.5959,1.10574,1.37869,1.19184,0.17326,0.19565,0.12403,0.0554,1.98907,3.1381,2.00549,0.0017624,0.0017624,0.0017624
14,60.3226,1.09149,1.35505,1.1768,0.42786,0.1087,0.11804,0.05708,2.196,3.3352,2.14888,0.0017426,0.0017426,0.0017426
15,63.5999,1.04387,1.21446,1.14506,0.34758,0.19565,0.16722,0.07826,2.26057,2.92795,2.31069,0.0017228,0.0017228,0.0017228
16,67.0697,1.03453,1.23082,1.14963,0.20812,0.25,0.12253,0.06035,2.28022,3.07756,2.2011,0.001703,0.001703,0.001703
17,70.889,0.98813,1.20894,1.12971,0.28544,0.33696,0.22099,0.09434,1.92712,2.72982,1.96912,0.0016832,0.0016832,0.0016832
18,74.2822,1.01267,1.20222,1.12074,0.24927,0.42391,0.21856,0.07586,1.97688,2.73601,2.03571,0.0016634,0.0016634,0.0016634
19,77.918,0.99944,1.18939,1.11196,0.18048,0.28261,0.143,0.06578,1.84533,3.34046,1.97766,0.0016436,0.0016436,0.0016436
20,81.3077,0.947,1.14386,1.08985,0.15468,0.33696,0.09353,0.04195,1.81882,4.97129,1.90549,0.0016238,0.0016238,0.0016238
21,84.9181,0.90994,1.09534,1.05807,0.1534,0.29348,0.10832,0.0472,1.62611,4.40123,1.69208,0.001604,0.001604,0.001604
22,88.3504,0.95651,1.08712,1.09997,0.42675,0.3587,0.31534,0.1415,1.64517,2.44653,1.67052,0.0015842,0.0015842,0.0015842
23,92.129,0.93838,1.12507,1.09857,0.34212,0.40217,0.3054,0.12771,1.87253,2.37371,1.81758,0.0015644,0.0015644,0.0015644
24,95.8851,0.91772,1.04435,1.07163,0.32174,0.28359,0.2418,0.08564,1.98897,2.45141,2.0585,0.0015446,0.0015446,0.0015446
